Type,Spatial_Frequency,filepath,file_name,robotic_trials.thisRepN,robotic_trials.thisTrialN,robotic_trials.thisN,robotic_trials.thisIndex,instruction.started,key_resp.started,key_resp.keys,key_resp.rt,etRecord.started,etRecord.stopped,Robotic__Stimuli.started,roi.started,Robotic__Stimuli.stopped,roi.stopped,roi.numLooks,roi.timesOn,roi.timesOff,M_H_likeness_slider.response,M_H_likeness_slider.rt,ISI_2.started,etRecord_2.started,etRecord_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c58.jpeg,matched-32-cpi-low-c58.jpeg,0,44,44,31,,,,,,,201.46203219999734,201.46203219999734,202.47630469998694,202.47630469998694,1,[0.00037629999860655516],[1.0110892999946373],35.92592592592593,0.6160839000076521,1.2999997125007212e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c63.jpeg,matched-c63.jpeg,0,45,45,3,,,,,,,204.96202509998693,204.96202509998693,205.97613699999056,205.97613699999056,1,[0.000454399996669963],[0.9303014999895822],31.944444444444443,1.1999267999926815,1.1900003300979733e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c77.jpeg,matched-c77.jpeg,0,46,46,13,,,,,,,209.16180370000075,209.16180370000075,,,1,[0.0003969999961555004],[0.9940002000075765],65.92592592592592,2.518922000002931,1.5000012353993952e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c48.jpeg,matched-8-cpi-low-c48.jpeg,0,47,47,15,,,,,,,214.49271779999253,214.49271779999253,,,1,[0.013369199994485825],[0.9984342999960063],30.462962962962965,0.25066920000244863,1.340000017080456e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c14.jpeg,matched-32-cpi-low-c14.jpeg,0,48,48,78,,,,,,,217.8592432000005,217.8592432000005,218.8577840999933,218.8577840999933,1,[0.0004358000005595386],[0.9914045000041369],0.8333333333333359,2.5834265000012238,1.3500000932253897e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c42.jpeg,matched-32-cpi-low-c42.jpeg,0,49,49,89,,,,,,,223.55770119999943,223.55770119999943,,,1,[0.013335199997527525],[0.9150365999958012],24.62962962962963,0.1667347000038717,1.2600008631125093e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c10.jpeg,matched-c10.jpeg,0,50,50,45,,,,,,,226.79469999999856,226.79469999999856,227.80902629999036,227.80902629999036,1,[0.00037039999733678997],[0.960804400005145],3.4259259259259265,0.4843805999989854,1.2600008631125093e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c27.jpeg,matched-c27.jpeg,0,51,51,52,,,,,,,230.46201160000055,230.46201160000055,231.47422910000023,231.47422910000023,1,[0.00040419999277219176],[0.8294942999928026],3.7037037037037033,0.5679634999978589,1.6299993149004877e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c72.jpeg,matched-32-cpi-low-c72.jpeg,0,52,52,40,,,,,,,234.27804249999463,234.27804249999463,235.2923143999942,235.2923143999942,1,[0.0004651000053854659],[1.0109517000091728],65.55555555555556,0.2986782999942079,1.1600001016631722e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c11.jpeg,matched-32-cpi-low-c11.jpeg,0,53,53,76,,,,,,,237.44447569998738,237.44447569998738,238.4588201999868,238.4588201999868,1,[0.0004489999992074445],[1.0107203000079608],8.148148148148149,0.8495346999989124,1.4300007023848593e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
