,File_Name,Type,Spatial_Freq,Likability,Mechano_Humanness
69,matched-32-cpi-low-c27.jpeg,Mechanical,HSF,"[-47.22222222222222, -32.592592592592595, 24.07407407407408, 48.14814814814815]","[8.425925925925926, 25.0, 4.074074074074074, 5.7407407407407405]"
70,matched-32-cpi-low-c35.jpeg,Mechanical,HSF,"[22.96296296296296, 6.481481481481495, 37.96296296296299, 15.18518518518519]","[13.240740740740742, 7.222222222222224, 12.962962962962964, 6.851851851851853]"
71,matched-8-cpi-low-c33.jpeg,Mechanical,LSF,"[11.666666666666671, 47.96296296296296, 24.62962962962962, -36.29629629629629]","[10.925925925925927, 11.203703703703704, 7.4074074074074066, 11.388888888888888]"
72,matched-8-cpi-low-c42.jpeg,Mechanical,LSF,"[20.925925925925924, 38.703703703703695, 24.444444444444443, 25.0]","[15.092592592592592, 20.37037037037037, 4.907407407407405, 12.87037037037037]"
73,matched-8-cpi-low-c37.jpeg,Mechanical,LSF,"[7.962962962962976, 60.55555555555557, 31.48148148148149, -25.925925925925924]","[2.4074074074074083, 3.2407407407407387, 7.685185185185183, 4.074074074074074]"
74,matched-8-cpi-low-c10.jpeg,Mechanical,LSF,"[-87.77777777777777, -100.0, -28.33333333333333, 38.888888888888886]","[0.9259259259259244, 0.462962962962965, 7.592592592592595, 6.111111111111112]"
75,matched-c76.jpeg,Humanoid,BSF,"[1.1111111111111145, -27.03703703703704, 23.333333333333343, 34.81481481481481]","[64.53703703703704, 53.24074074074075, 67.5925925925926, 51.48148148148148]"
76,matched-c14.jpeg,Mechanical,BSF,"[-29.444444444444457, -9.444444444444445, -32.03703703703704, -27.03703703703704]","[4.4444444444444455, 3.7962962962962976, 1.5740740740740722, 0.7407407407407418]"
77,matched-8-cpi-low-c77.jpeg,Humanoid,LSF,"[14.999999999999986, 26.111111111111114, 33.14814814814815, 9.259259259259252]","[45.27777777777778, 64.35185185185185, 65.55555555555556, 64.25925925925927]"
78,matched-32-cpi-low-c33.jpeg,Mechanical,HSF,"[10.555555555555555, 28.88888888888889, 44.44444444444443, 20.925925925925924]","[46.66666666666666, 10.185185185185189, 9.999999999999998, 7.4074074074074066]"
79,matched-8-cpi-low-c79.jpeg,Humanoid,LSF,"[3.333333333333343, 14.074074074074076, 85.55555555555557, 65.0]","[55.92592592592592, 51.75925925925926, 90.0, 71.48148148148148]"
80,matched-8-cpi-low-c58.jpeg,Humanoid,LSF,"[-27.03703703703704, -25.55555555555556, -53.70370370370371, -72.77777777777777]","[38.98148148148148, 41.01851851851852, 23.24074074074074, 21.203703703703702]"
81,matched-c10.jpeg,Mechanical,BSF,"[-64.25925925925927, -42.22222222222223, 3.333333333333343, -57.77777777777777]","[0.0925925925925941, 3.4259259259259265, 5.555555555555558, 4.4444444444444455]"
82,matched-c27.jpeg,Mechanical,BSF,"[-39.44444444444444, -28.51851851851852, 25.37037037037038, -36.48148148148148]","[9.999999999999998, 3.7037037037037033, 7.314814814814813, 5.648148148148147]"
83,matched-8-cpi-low-c36.jpeg,Mechanical,LSF,"[1.6666666666666572, -50.74074074074074, 50.37037037037035, -23.70370370370371]","[22.685185185185187, 13.981481481481485, 18.98148148148148, 15.092592592592592]"
84,matched-32-cpi-low-c79.jpeg,Humanoid,HSF,"[3.7037037037036953, 68.14814814814815, 67.40740740740739, 84.07407407407408]","[61.48148148148148, 48.61111111111111, 86.01851851851852, 84.9074074074074]"
85,matched-32-cpi-low-c66.jpeg,Humanoid,HSF,"[12.407407407407405, -7.037037037037038, 65.74074074074073, 40.0]","[53.888888888888886, 70.55555555555554, 83.88888888888889, 55.00000000000001]"
86,matched-8-cpi-low-c63.jpeg,Humanoid,LSF,"[-36.48148148148148, -55.55555555555556, -61.29629629629629, -53.888888888888886]","[41.11111111111111, 14.166666666666666, 27.03703703703704, 28.148148148148145]"
87,matched-c71.jpeg,Humanoid,BSF,"[35.55555555555557, 76.2962962962963, 11.666666666666671, 18.148148148148152]","[52.96296296296297, 100.0, 42.77777777777778, 57.87037037037037]"
88,matched-32-cpi-low-c12.jpeg,Mechanical,HSF,"[18.518518518518505, -16.851851851851848, 30.0, -28.148148148148135]","[8.796296296296296, 8.888888888888891, 5.37037037037037, 6.111111111111112]"
89,matched-8-cpi-low-c69.jpeg,Humanoid,LSF,"[7.592592592592595, -24.07407407407408, 74.25925925925924, -23.70370370370371]","[39.16666666666666, 40.55555555555556, 24.444444444444446, 51.01851851851852]"
90,matched-8-cpi-low-c41.jpeg,Mechanical,LSF,"[3.333333333333343, 12.037037037037052, -39.62962962962963, 54.07407407407408]","[14.629629629629632, 10.370370370370368, 5.277777777777776, 2.962962962962962]"
91,matched-8-cpi-low-c17.jpeg,Mechanical,LSF,"[3.333333333333343, -15.555555555555555, 42.22222222222223, -52.407407407407405]","[37.03703703703704, 2.500000000000002, 7.4074074074074066, 5.462962962962964]"
92,matched-32-cpi-low-c48.jpeg,Humanoid,HSF,"[-35.18518518518519, -62.22222222222222, -6.666666666666671, -71.29629629629629]","[25.83333333333333, 1.2962962962962954, 12.037037037037036, 10.27777777777778]"
93,matched-c35.jpeg,Mechanical,BSF,"[51.66666666666666, -29.444444444444457, 13.333333333333329, 14.629629629629632]","[0.2777777777777768, 14.074074074074073, 5.7407407407407405, 4.907407407407405]"
94,matched-32-cpi-low-c37.jpeg,Mechanical,HSF,"[40.74074074074073, 25.740740740740748, 45.74074074074076, -61.11111111111112]","[5.555555555555558, 1.7592592592592604, 2.870370370370373, 10.833333333333334]"
95,matched-c38.jpeg,Mechanical,BSF,"[63.51851851851853, 60.0, 17.59259259259261, -62.59259259259259]","[1.944444444444443, 66.01851851851852, 10.833333333333334, 8.611111111111114]"
96,matched-c61.jpeg,Humanoid,BSF,"[12.777777777777771, -73.14814814814815, 29.25925925925924, -85.18518518518519]","[44.81481481481481, 34.44444444444444, 22.59259259259259, 17.962962962962965]"
97,matched-c79.jpeg,Humanoid,BSF,"[21.1111111111111, 71.66666666666669, 77.77777777777777, 92.77777777777776]","[56.11111111111112, 51.85185185185185, 92.5925925925926, 80.64814814814815]"
98,matched-c11.jpeg,Mechanical,BSF,"[5.185185185185176, 24.62962962962962, 21.851851851851865, -28.33333333333333]","[34.166666666666664, 8.796296296296296, 3.888888888888886, 8.703703703703702]"
99,matched-c58.jpeg,Humanoid,BSF,"[-20.555555555555543, -21.851851851851865, -55.74074074074075, 27.592592592592595]","[40.64814814814815, 20.64814814814815, 25.74074074074074, 23.425925925925927]"
100,matched-32-cpi-low-c72.jpeg,Humanoid,HSF,"[6.481481481481495, 11.851851851851848, 20.18518518518519, 15.370370370370368]","[53.333333333333336, 65.55555555555556, 59.62962962962963, 51.01851851851852]"
101,matched-8-cpi-low-c64.jpeg,Humanoid,LSF,"[-11.111111111111114, -46.11111111111112, -17.22222222222223, -13.70370370370371]","[37.31481481481481, 20.64814814814815, 35.092592592592595, 48.14814814814815]"
102,matched-32-cpi-low-c64.jpeg,Humanoid,HSF,"[-17.962962962962962, -36.85185185185185, -46.48148148148148, -50.0]","[43.24074074074074, 11.2962962962963, 14.814814814814811, 48.42592592592593]"
103,matched-8-cpi-low-c67.jpeg,Humanoid,LSF,"[15.555555555555545, -6.481481481481481, 64.62962962962965, 13.888888888888886]","[38.7962962962963, 40.18518518518518, 29.629629629629623, 38.24074074074074]"
104,matched-c41.jpeg,Mechanical,BSF,"[27.22222222222221, -36.48148148148148, -7.7777777777777715, -44.62962962962963]","[2.22222222222222, 7.592592592592595, 9.35185185185185, 7.592592592592595]"
105,matched-8-cpi-low-c72.jpeg,Humanoid,LSF,"[4.8148148148148096, 64.81481481481481, 45.92592592592592, -68.33333333333334]","[28.425925925925927, 7.685185185185183, 2.4074074074074083, 44.62962962962963]"
106,matched-32-cpi-low-c65.jpeg,Humanoid,HSF,"[-15.925925925925924, -8.888888888888886, -18.33333333333333, 19.814814814814824]","[46.57407407407408, 33.51851851851852, 44.62962962962963, 58.88888888888889]"
107,matched-32-cpi-low-c76.jpeg,Humanoid,HSF,"[1.6666666666666572, -20.925925925925924, 35.18518518518519, -27.592592592592595]","[62.68518518518519, 50.09259259259259, 54.53703703703704, 57.03703703703704]"
108,matched-c77.jpeg,Humanoid,BSF,"[41.29629629629631, 62.22222222222223, 49.62962962962962, 93.5185185185185]","[55.46296296296296, 65.92592592592592, 88.61111111111111, 52.129629629629626]"
109,matched-8-cpi-low-c71.jpeg,Humanoid,LSF,"[39.81481481481481, 9.259259259259252, 20.0, 53.14814814814815]","[43.14814814814815, 76.20370370370371, 81.57407407407408, 17.87037037037037]"
110,matched-8-cpi-low-c43.jpeg,Mechanical,LSF,"[50.55555555555554, 23.70370370370369, 13.888888888888886, -22.407407407407405]","[0.9259259259259244, 22.96296296296296, 5.462962962962964, 5.277777777777776]"
111,matched-32-cpi-low-c61.jpeg,Humanoid,HSF,"[-16.666666666666657, -100.0, -48.88888888888889, -57.03703703703704]","[49.16666666666666, 41.94444444444444, 61.57407407407407, 6.574074074074076]"
112,matched-32-cpi-low-c11.jpeg,Mechanical,HSF,"[-51.66666666666667, -16.296296296296305, -64.81481481481481, -52.22222222222223]","[1.0185185185185186, 8.148148148148149, 1.3888888888888895, 17.5]"
113,matched-8-cpi-low-c27.jpeg,Mechanical,LSF,"[-37.4074074074074, -77.03703703703704, 3.148148148148138, -67.96296296296296]","[4.351851851851851, 11.203703703703704, 1.5740740740740722, 9.25925925925926]"
114,matched-c69.jpeg,Humanoid,BSF,"[13.333333333333329, -20.0, 13.333333333333329, 17.407407407407405]","[46.75925925925926, 32.68518518518518, 58.7037037037037, 50.0]"
115,matched-32-cpi-low-c43.jpeg,Mechanical,HSF,"[32.22222222222223, 40.0, 24.07407407407408, -60.37037037037037]","[2.685185185185185, 18.79629629629629, 24.814814814814817, 4.814814814814817]"
