Type,Spatial_Frequency,filepath,file_name,robotic_trials.thisRepN,robotic_trials.thisTrialN,robotic_trials.thisN,robotic_trials.thisIndex,instruction.started,key_resp.started,key_resp.keys,key_resp.rt,etRecord.started,etRecord.stopped,Robotic__Stimuli.started,roi.started,Robotic__Stimuli.stopped,roi.stopped,roi.numLooks,roi.timesOn,roi.timesOff,M_H_likeness_slider.response,M_H_likeness_slider.rt,ISI_2.started,etRecord_2.started,etRecord_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c48.jpeg,matched-c48.jpeg,0,43,43,0,,,,,,,186.4513159999915,186.4513159999915,187.45268469999428,187.45268469999428,2,"[0.0005000000091968104, 0.44232080000801943]","[0.3088787000015145, 0.9883699000056367]",41.11111111111111,0.7345261000009486,1.3299999409355223e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c61.jpeg,matched-8-cpi-low-c61.jpeg,0,44,44,17,,,,,,,190.1174522999936,190.1174522999936,191.11928620000253,191.11928620000253,1,[0.0003952999977627769],[0.9907398000068497],42.592592592592595,0.7828733000060311,1.4399993233382702e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c17.jpeg,matched-8-cpi-low-c17.jpeg,0,45,45,65,,,,,,,194.30487490000087,194.30487490000087,195.30459990000236,195.30459990000236,1,[0.012703900007181801],[1.012692699994659],37.03703703703704,1.4973604999977397,1.309999788645655e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c77.jpeg,matched-32-cpi-low-c77.jpeg,0,46,46,43,,,,,,,198.70260799999232,198.70260799999232,199.70087739999872,199.70087739999872,2,"[0.00035450000723358244, 0.3414561999961734]","[0.09146569999575149, 0.9894885999965481]",44.166666666666664,0.46442400000523776,1.6400008462369442e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c33.jpeg,matched-32-cpi-low-c33.jpeg,0,47,47,83,,,,,,,202.3020828000008,202.3020828000008,203.30436239999835,203.30436239999835,2,"[0.0004327000060584396, 0.7915850000135833]","[0.7583828000060748, 0.9916620000003604]",46.666666666666664,1.7978771999914898,1.270000939257443e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c74.jpeg,matched-8-cpi-low-c74.jpeg,0,48,48,26,,,,,,,207.0712932000024,207.0712932000024,,,1,[0.32581960000970867],[1.0071025000070222],45.0,0.30034030000388157,1.4399993233382702e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c35.jpeg,matched-8-cpi-low-c35.jpeg,0,49,49,69,,,,,,,210.32120939999004,210.32120939999004,211.32094439999491,211.32094439999491,4,"[0.0004830000107176602, 0.11271440000564326, 0.21268930000951514, 0.3789546000043629]","[0.02946930000325665, 0.17907160001050215, 0.36233090001042, 0.9962094000075012]",47.87037037037037,1.0960102999961236,1.3299999409355223e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c66.jpeg,matched-8-cpi-low-c66.jpeg,0,50,50,21,,,,,,,214.28780999999435,214.28780999999435,215.28742029999557,215.28742029999557,0,,,56.94444444444444,0.7626902000047266,1.3600001693703234e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c72.jpeg,matched-c72.jpeg,0,51,51,10,,,,,,,218.10218819999136,218.10218819999136,219.1001014999929,219.1001014999929,4,"[0.0005515999946510419, 0.042141199999605305, 0.17520869999134447, 0.35870579999755137]","[0.025621599997975864, 0.058695999992778525, 0.20868469998822547, 0.875280299995211]",48.7962962962963,1.6627594000019599,1.2199991033412516e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c76.jpeg,matched-32-cpi-low-c76.jpeg,0,52,52,42,,,,,,,222.82099609999568,222.82099609999568,,,1,[0.005234399999608286],[1.0036232999991626],62.68518518518519,0.5319879000016954,1.410000550094992e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c36.jpeg,matched-8-cpi-low-c36.jpeg,0,53,53,70,,,,,,,226.30403210000077,226.30403210000077,227.31841789999453,227.31841789999453,1,[0.00038519999361597],[0.8614884999988135],22.685185185185187,0.44980889999715146,1.4999997802078724e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c16.jpeg,matched-8-cpi-low-c16.jpeg,0,54,54,64,,,,,,,229.71926159999566,229.71926159999566,230.72101609999663,230.72101609999663,3,"[0.30730129999574274, 0.37395029999606777, 0.4238871999987168]","[0.35712359999888577, 0.39068690000567585, 0.7906145000015385]",12.407407407407407,0.2642154000059236,1.5700003132224083e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c61.jpeg,matched-32-cpi-low-c61.jpeg,0,55,55,32,,,,,,,232.90159719999065,232.90159719999065,233.91841099999147,233.91841099999147,3,"[0.04135719999612775, 0.1415701999940211, 0.32467000000178814]","[0.058544500003336, 0.3083009999973001, 1.0063367999973707]",49.166666666666664,0.33291969999845605,1.2800010154023767e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c76.jpeg,matched-c76.jpeg,0,56,56,12,,,,,,,236.17077009999775,236.17077009999775,237.1833553000033,237.1833553000033,3,"[0.0004315999976824969, 0.0754841000016313, 0.6925072000012733]","[0.04212040000129491, 0.675801399993361, 1.0069592999934684]",64.53703703703704,0.3835228999960236,1.3900003978051245e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c58.jpeg,matched-c58.jpeg,0,57,57,1,,,,,,,239.68464259999746,239.68464259999746,240.68682439999247,240.68682439999247,3,"[0.0004813999985344708, 0.24167540000053123, 0.9251286999933654]","[0.09173279999231454, 0.9086051999911433, 0.9916500999970594]",40.64814814814815,0.7644344000000274,1.3900003978051245e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c74.jpeg,matched-32-cpi-low-c74.jpeg,0,58,58,41,,,,,,,243.3353924999974,243.3353924999974,244.33493630000157,244.33493630000157,3,"[0.07453899999381974, 0.15779859999020118, 0.19097729999339208]","[0.14112390000082087, 0.17413859999214765, 0.991459799988661]",55.46296296296296,1.3133738999895286,1.4499993994832039e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
