Type,Spatial_Frequency,filepath,file_name,robotic_trials.thisRepN,robotic_trials.thisTrialN,robotic_trials.thisN,robotic_trials.thisIndex,instruction.started,key_resp.started,key_resp.keys,key_resp.rt,etRecord.started,etRecord.stopped,Robotic__Stimuli.started,roi.started,roi.numLooks,roi.timesOn,roi.timesOff,Likebility_slider_3.response,Likebility_slider_3.rt,ISI_2.started,Robotic__Stimuli.stopped,roi.stopped,etRecord_2.started,etRecord_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c41.jpeg,matched-8-cpi-low-c41.jpeg,0,45,45,73,,,,,,,263.9277482999896,263.9277482999896,2,"[0.0004952000017510727, 0.6598812000011094]","[0.5934694000025047, 0.993028900003992]",3.333333333333343,1.068880500009982,1.3299999409355223e-05,,,,,VYV,001,2023-04-16_21h50.01.102,trial uncanny,2022.2.5,59.10644065100967,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c17.jpeg,matched-8-cpi-low-c17.jpeg,0,46,46,65,,,,,,,267.9944218000019,267.9944218000019,1,[0.0006069000082788989],[0.9927870999963488],3.333333333333343,1.067188700006227,1.8099992303177714e-05,268.9945662999962,268.9945662999962,,,VYV,001,2023-04-16_21h50.01.102,trial uncanny,2022.2.5,59.10644065100967,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c48.jpeg,matched-32-cpi-low-c48.jpeg,0,47,47,30,,,,,,,272.21095329998934,272.21095329998934,1,[0.00040809999336488545],[0.992211300006602],-35.18518518518519,0.5483086000022013,1.3700002455152571e-05,273.2091340999905,273.2091340999905,,,VYV,001,2023-04-16_21h50.01.102,trial uncanny,2022.2.5,59.10644065100967,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c35.jpeg,matched-c35.jpeg,0,48,48,54,,,,,,,275.69415840000147,275.69415840000147,1,[0.0005298999894876033],[0.9569820999895455],51.66666666666666,0.4833964000135893,1.2899996363557875e-05,276.69428509999125,276.69428509999125,,,VYV,001,2023-04-16_21h50.01.102,trial uncanny,2022.2.5,59.10644065100967,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c37.jpeg,matched-32-cpi-low-c37.jpeg,0,49,49,86,,,,,,,279.20897319998767,279.20897319998767,1,[0.00036589999217540026],[0.978389399999287],40.74074074074073,0.6298988000053214,1.5000012353993952e-05,,,,,VYV,001,2023-04-16_21h50.01.102,trial uncanny,2022.2.5,59.10644065100967,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c38.jpeg,matched-c38.jpeg,0,50,50,57,,,,,,,282.7591293000005,282.7591293000005,4,"[0.008906999995815568, 0.5293173999962164, 0.5798834000015631, 0.8426862000051187]","[0.5131690999987768, 0.5630975000094622, 0.7940937000093982, 0.861187800008338]",63.51851851851853,0.5165221000061138,1.2999997125007212e-05,,,,,VYV,001,2023-04-16_21h50.01.102,trial uncanny,2022.2.5,59.10644065100967,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c61.jpeg,matched-c61.jpeg,0,51,51,2,,,,,,,286.24241409999377,286.24241409999377,3,"[0.0005964000010862947, 0.09245139999256935, 0.6425728000031086]","[0.059179799995035864, 0.6091422000026796, 0.9946820000041043]",12.777777777777771,0.962875700002769,1.8699996871873736e-05,287.24630949999846,287.24630949999846,,,VYV,001,2023-04-16_21h50.01.102,trial uncanny,2022.2.5,59.10644065100967,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c79.jpeg,matched-c79.jpeg,0,52,52,14,,,,,,,290.2107677999884,290.2107677999884,1,[0.0004317999992053956],[0.9925851000007242],21.1111111111111,0.8324894999968819,1.3800003216601908e-05,291.20886719999544,291.20886719999544,,,VYV,001,2023-04-16_21h50.01.102,trial uncanny,2022.2.5,59.10644065100967,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c11.jpeg,matched-c11.jpeg,0,53,53,46,,,,,,,294.12715979998757,294.12715979998757,1,[0.008513699998729862],[0.9953681999904802],5.185185185185176,0.7797655999893323,1.5400000847876072e-05,,,,,VYV,001,2023-04-16_21h50.01.102,trial uncanny,2022.2.5,59.10644065100967,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c58.jpeg,matched-c58.jpeg,0,54,54,1,,,,,,,297.8271473999921,297.8271473999921,3,"[0.04243079999287147, 0.6591379000019515, 0.8422060000011697]","[0.5946464000007836, 0.7256652999931248, 0.992528399990988]",-20.555555555555543,0.482445400004508,1.679999695625156e-05,298.8270007999963,298.8270007999963,,,VYV,001,2023-04-16_21h50.01.102,trial uncanny,2022.2.5,59.10644065100967,
